,polarity,subjectivity,neg,neu,pos,compound
189,0.13636363636363635,0.5,0.0,1.0,0.0,0.0
190,0.6333333333333333,0.8629629629629628,0.0,0.694,0.306,0.765
191,-0.4,0.6,0.304,0.696,0.0,-0.5423
192,0.0,0.5,0.35,0.399,0.251,-0.6705
193,0.2,0.4,0.464,0.536,0.0,-0.6369
194,0.6,1.0,0.0,0.763,0.237,0.4215
195,0.65,0.9,0.0,0.496,0.504,0.7269
196,0.0,0.06666666666666667,0.256,0.744,0.0,-0.4118
197,0.0,0.0,0.0,1.0,0.0,0.0
198,0.0,0.0,0.0,0.58,0.42,0.4404
199,0.5,0.6,0.0,0.734,0.266,0.7783
200,0.0,0.15000000000000002,0.0,1.0,0.0,0.0
201,0.18333333333333335,0.8777777777777778,0.0,0.669,0.331,0.714
202,0.0,0.0,0.0,0.783,0.217,0.3612
203,0.033333333333333326,0.32222222222222224,0.0,0.733,0.267,0.4439
204,0.35,0.65,0.0,0.796,0.204,0.3182
205,-0.325,0.45,0.225,0.775,0.0,-0.6711
206,0.0,0.0,0.0,1.0,0.0,0.0
207,0.049999999999999996,0.31111111111111106,0.088,0.528,0.384,0.7745
208,0.0,0.35714285714285715,0.0,1.0,0.0,0.0
209,0.0,0.0,0.0,0.886,0.114,0.4019
210,-0.046666666666666676,0.3983333333333333,0.0,1.0,0.0,0.0
211,0.0,0.0,0.0,0.417,0.583,0.7184
212,0.0,0.0,0.0,1.0,0.0,0.0
213,0.0,0.0,0.261,0.556,0.183,-0.5255
214,-0.05000000000000001,0.7583333333333333,0.0,0.913,0.087,0.2023
215,-0.40234375,1.0,0.133,0.638,0.229,0.4545
216,0.19999999999999998,0.5,0.0,0.707,0.293,0.4404
217,0.05,0.95,0.0,0.815,0.185,0.5118
218,0.375,0.9444444444444444,0.0,0.522,0.478,0.6705
219,0.6,1.0,0.225,0.775,0.0,-0.4404
220,0.3,0.75,0.0,0.641,0.359,0.4215
221,0.45,0.5357142857142858,0.15,0.553,0.297,0.4417
222,-0.4,0.4,0.386,0.614,0.0,-0.8316
